city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
phan thiet,10.9333,108.1,300.31,73,100,7.14,VN,1659932849
trairi,-3.2778,-39.2689,297.9,83,17,5.07,BR,1659932648
aklavik,68.2191,-135.0107,286.92,65,75,3.36,CA,1659932850
makakilo city,21.3469,-158.0858,301.33,62,40,7.2,US,1659932851
rawson,-43.3002,-65.1023,279.25,91,100,1.01,AR,1659932852
lakota,5.8528,-5.6883,292.37,98,42,1.42,CI,1659932852
verkhnyaya inta,65.9811,60.3094,297.4,53,0,6.76,RU,1659932853
ribeira grande,38.5167,-28.7,296.77,81,18,6.79,PT,1659932600
sitka,57.0531,-135.33,287.09,82,100,3.6,US,1659932854
wanning,18.8003,110.3967,301.89,83,100,3.53,CN,1659932855
saint-augustin,51.226,-58.6502,286.97,63,7,7.07,CA,1659932856
tolaga bay,-38.3667,178.3,286.19,78,100,2.89,NZ,1659932857
russell,32.3502,-85.1999,297.25,94,0,0,US,1659932858
north bend,43.4065,-124.2243,289.22,97,100,1.54,US,1659932858
bandraboua,-12.7044,45.1223,296.97,65,21,3.65,YT,1659932859
suntar,62.1444,117.6319,292.95,48,95,1.34,RU,1659932860
bluefield,37.2698,-81.2223,294.46,90,0,1.54,US,1659932861
dikson,73.5069,80.5464,278.67,100,100,1.95,RU,1659932862
riyadh,24.6877,46.7219,307.23,23,5,1.29,SA,1659932862
wiarton,44.7407,-81.1332,295.65,100,100,1.03,CA,1659932863
tuatapere,-46.1333,167.6833,278.64,69,13,5.43,NZ,1659932864
poopo,-18.3667,-66.9667,276.56,16,71,2.11,BO,1659932865
ughelli,5.4899,6.0074,296.5,92,100,1.27,NG,1659932865
mandalgovi,45.7625,106.2708,295.85,48,6,7.62,MN,1659932866
sheksna,59.21,38.5107,284.13,83,58,1.31,RU,1659932867
parintins,-2.6283,-56.7358,297.96,67,48,1.51,BR,1659932868
kenai,60.5544,-151.2583,287.05,73,20,11.32,US,1659932868
nanortalik,60.1432,-45.2371,280.28,77,43,1.34,GL,1659932869
nemuro,43.3236,145.575,292.6,98,100,7.55,JP,1659932818
olinda,-8.0089,-34.8553,298,69,40,4.12,BR,1659932658
poum,-20.2333,164.0167,297.12,76,3,7.43,NC,1659932718
padang,-0.9492,100.3543,303.18,66,20,2.06,ID,1659932872
nantucket,41.2835,-70.0995,299.26,93,0,6.17,US,1659932776
avallon,47.4833,3.9,286.12,58,0,2.1,FR,1659932873
mahajanga,-15.7167,46.3167,291.16,72,0,1.54,MG,1659932874
anadyr,64.75,177.4833,283.43,49,75,10,RU,1659932874
katsuura,35.1333,140.3,302.37,76,47,8.38,JP,1659932875
luanda,-8.8368,13.2343,291.15,94,75,0.51,AO,1659932876
geraldton,-28.7667,114.6,292.38,68,75,7.2,AU,1659932877
matamoros,25.5333,-103.25,297.89,49,76,3.26,MX,1659932877
laguna,38.421,-121.4238,299.51,58,0,4.12,US,1659932879
taoudenni,22.6783,-3.9836,309.27,13,2,3.89,ML,1659932880
berezovyy,51.6667,135.7,291.35,84,99,1.01,RU,1659932880
hami,42.8,93.45,309.4,16,0,6.02,CN,1659932881
lagoa,39.05,-27.9833,296.04,81,18,7.59,PT,1659932883
lasa,46.6166,10.7002,286.13,90,96,1.32,IT,1659932883
palatka,29.6486,-81.6376,300.35,87,32,1.43,US,1659932884
bocas del toro,9.3333,-82.25,298.21,90,100,2.43,PA,1659932885
ulagan,50.6321,87.9563,294.3,49,58,0.25,RU,1659932886
rathkeale,52.5244,-8.9381,284.88,94,75,0.51,IE,1659932887
soyo,-6.1349,12.3689,292.48,94,20,2.2,AO,1659932887
morro bay,35.3658,-120.8499,295.22,86,6,3.71,US,1659932888
farah,32.5,62.5,304.59,12,0,3.28,AF,1659932889
tiksi,71.6872,128.8694,283.88,94,100,3.95,RU,1659932639
plettenberg bay,-34.0527,23.3716,288.12,85,99,3.41,ZA,1659932890
lata,40.1629,-8.3327,288.27,90,0,0.19,PT,1659932891
grindavik,63.8424,-22.4338,282.41,93,75,8.23,IS,1659932892
fuerte olimpo,-21.0415,-57.8738,293.23,97,100,1.26,PY,1659932893
benguela,-12.5763,13.4055,291.83,87,67,0.58,AO,1659932894
ostrovnoy,68.0531,39.5131,285.33,69,93,6.19,RU,1659932895
mulege,26.8833,-111.9833,303.08,66,8,1.91,MX,1659932895
san jeronimo,-11.9472,-75.2829,283.97,74,100,1.93,PE,1659932896
hofn,64.2539,-15.2082,283.65,87,56,6.67,IS,1659932897
necochea,-38.5473,-58.7368,277.07,86,11,3.09,AR,1659932898
ouesso,1.6136,16.0517,294.14,93,73,0.82,CG,1659932898
waddan,29.1614,16.139,297.77,50,0,2.85,LY,1659932899
san juan,-31.5375,-68.5364,277.67,83,99,3.53,AR,1659932679
gouyave,12.1646,-61.7296,298.58,94,20,0,GD,1659932901
lahat,-3.8,103.5333,304.51,53,38,1.41,ID,1659932901
kysyl-syr,63.8986,122.7617,290.29,82,94,2.17,RU,1659932902
amapa,1,-52,294.21,99,60,0.94,BR,1659932903
bafq,31.6128,55.4107,307.26,14,1,0.23,IR,1659932904
kabinda,-6.1333,24.4833,291.32,40,62,1.77,CD,1659932904
airai,-8.9266,125.4092,297.16,45,41,2.55,TL,1659932905
lufilufi,-13.8745,-171.5986,303.03,79,20,7.92,WS,1659932906
mayumba,-3.432,10.6554,292.88,89,76,1.31,GA,1659932907
hualmay,-11.0964,-77.6139,289.22,85,43,4.04,PE,1659932907
baghdad,33.3406,44.4009,305.1,29,1,3.6,IQ,1659932719
carnarvon,-24.8667,113.6333,293.21,58,0,5.23,AU,1659932909
rosarito,32.3333,-117.0333,295.59,71,40,2.67,MX,1659932909
ampanihy,-24.7,44.75,288.39,98,18,3.43,MG,1659932910
comodoro rivadavia,-45.8667,-67.5,276.07,93,0,2.06,AR,1659932783
corning,42.1428,-77.0547,298.36,93,0,0,US,1659932896
dingle,10.9995,122.6711,301.96,75,94,2.21,PH,1659932912
saint-francois,46.4154,3.9054,284.64,82,0,0.51,FR,1659932913
rio gallegos,-51.6226,-69.2181,276.18,81,100,7.72,AR,1659932914
yazman,29.1212,71.7446,308.72,49,95,4.27,PK,1659932914
cedral,23.8,-100.7333,292.06,69,59,5.13,MX,1659932915
coihaique,-45.5752,-72.0662,275.49,87,100,1.54,CL,1659932916
batagay,67.6333,134.6333,295.89,47,54,3.13,RU,1659932917
kalety,50.5627,18.8926,288.83,67,100,3.15,PL,1659932918
oksfjord,70.2396,22.3479,284.25,90,100,3.83,NO,1659932918
oranjemund,-28.55,16.4333,284.23,79,0,2.89,NA,1659932919
half moon bay,37.4636,-122.4286,292.48,82,0,6.17,US,1659932920
yuanping,38.7153,112.7575,299.43,72,54,5.97,CN,1659932921
tukrah,32.5341,20.5791,299.21,81,0,2.86,LY,1659932921
kismayo,-0.3582,42.5454,297.11,76,46,7.08,SO,1659932922
ust-koksa,50.2696,85.6108,294.48,52,83,0.26,RU,1659932923
fairbanks,64.8378,-147.7164,287.37,75,75,2.57,US,1659932787
purranque,-40.9167,-73.1667,276.64,98,70,0.31,CL,1659932924
iquitos,-3.7481,-73.2472,297.17,94,75,1.54,PE,1659932925
kudahuvadhoo,2.6708,72.8944,300.67,77,100,4.31,MV,1659932926
cabedelo,-6.9811,-34.8339,294.52,76,1,5.44,BR,1659932927
faanui,-16.4833,-151.75,297.82,69,75,11.72,PF,1659932927
durban,-29.8579,31.0292,291.49,93,77,2.24,ZA,1659932928
taman,45.2117,36.7161,298.5,57,0,5.87,RU,1659932929
dali,25.7,100.1833,296.72,68,68,0.96,CN,1659932930
dzilam gonzalez,21.2833,-88.9333,296.09,96,100,2.01,MX,1659932930
kodiak,57.79,-152.4072,290.88,52,0,2.57,US,1659932718
ust-ilimsk,58.0006,102.6619,292.74,64,100,2.29,RU,1659932932
aden,12.7794,45.0367,302.77,76,15,2.64,YE,1659932932
gelemso,8.8167,40.5167,289.28,79,93,1.9,ET,1659932933
winchester,51.0651,-1.3187,287.72,79,2,2.06,GB,1659932934
mitzic,0.7821,11.549,292.43,96,77,1.53,GA,1659932935
whyalla,-33.0333,137.5833,288.39,45,0,1.53,AU,1659932936
sao domingos,-13.3983,-46.3183,294.11,39,51,2.87,BR,1659932936
general roca,-39.0333,-67.5833,277.31,97,100,1.65,AR,1659932937
puerto narino,-3.7703,-70.3831,295.82,97,85,1.35,CO,1659932938
jucurutu,-6.0339,-37.0203,296.43,68,7,4.92,BR,1659932939
cherskiy,68.75,161.3,284.54,47,44,2.9,RU,1659932939
les cayes,18.2,-73.75,299.62,81,21,1.5,HT,1659932940
kovdor,67.5662,30.4758,282.57,77,56,1.79,RU,1659932941
morant bay,17.8815,-76.4093,300.94,86,22,3.94,JM,1659932942
gaoua,10.2992,-3.2508,296.56,75,59,2.65,BF,1659932942
hakkari,37.5833,44.1667,290.03,51,0,0,TR,1659932943
guerrero negro,27.9769,-114.0611,297.14,78,40,4.39,MX,1659932944
sargatskoye,55.6101,73.4972,293.23,62,74,4.87,RU,1659932945
ballachulish,56.6774,-5.1308,286.16,94,86,2.16,GB,1659932946
flin flon,54.7682,-101.865,291.23,77,74,3.02,CA,1659932946
macamic,48.7502,-78.9996,284.16,77,86,2.02,CA,1659932947
beringovskiy,63.05,179.3167,282.95,50,63,6.31,RU,1659932863
ludwigslust,53.3167,11.5,285.83,78,19,0.26,DE,1659932949
shebalino,51.2917,85.6772,295.96,45,78,0.26,RU,1659932949
raga,8.4596,25.678,293.55,96,96,2.61,SS,1659932950
dutse,11.7594,9.3392,296.54,81,100,2.54,NG,1659932951
kendari,-3.945,122.4989,301.33,75,74,1.63,ID,1659932952
bathsheba,13.2167,-59.5167,301.49,95,75,7.72,BB,1659932952
hudiksvall,61.729,17.1036,286.98,61,100,1.53,SE,1659932855
aykhal,66,111.5,280.42,96,100,1.58,RU,1659932954
mackay,-21.15,149.2,297.42,62,0,6.77,AU,1659932954
broome,42.2506,-75.833,297.96,88,0,2.57,US,1659932955
alliston,44.1501,-79.8663,297.83,82,95,1.79,CA,1659932956
narasannapeta,18.4167,84.05,301.66,76,97,3.44,IN,1659932957
mastic beach,40.7668,-72.8521,299.81,89,0,10.73,US,1659932958
port blair,11.6667,92.75,302.17,79,75,7.72,IN,1659932862
san quintin,30.4833,-115.95,295.83,85,33,2.34,MX,1659932959
flinders,-34.5833,150.8552,289.29,67,43,6.65,AU,1659932960
candeias,-20.7676,-45.2764,292.84,42,87,1.64,BR,1659932960
chuy,-33.6971,-53.4616,281.57,88,6,3.23,UY,1659932961
trogir,43.5125,16.2517,299.18,50,0,2.57,HR,1659932962
mount isa,-20.7333,139.5,297.02,15,0,4.63,AU,1659932963
cody,44.5263,-109.0565,291.84,63,0,0,US,1659932963
mareeba,-17,145.4333,300.62,67,75,2.75,AU,1659932964
port macquarie,-31.4333,152.9167,289.76,69,27,6.86,AU,1659932965
yamada,39.4667,141.95,303.37,64,100,4.93,JP,1659932966
vestmannaeyjar,63.4427,-20.2734,284.08,82,66,8.21,IS,1659932966
berlevag,70.8578,29.0864,283.12,87,75,10.29,NO,1659932967
longyearbyen,78.2186,15.6401,281.06,87,75,4.12,SJ,1659932968
itarema,-2.9248,-39.9167,298.04,83,5,7.03,BR,1659932718
upernavik,72.7868,-56.1549,278.47,82,100,1.63,GL,1659932969
san rafael,-34.6177,-68.3301,275.39,97,100,3.78,AR,1659932970
cap malheureux,-19.9842,57.6142,295.08,73,2,1.34,MU,1659932971
key west,24.5557,-81.7826,304.15,71,20,6.69,US,1659932953
olafsvik,64.8945,-23.7142,283.44,81,89,11.28,IS,1659932972
lincoln,40.8,-96.667,295.53,83,100,5.66,US,1659932752
gisborne,-38.6533,178.0042,286.55,76,79,3.65,NZ,1659932973
lisieux,49.1667,0.1667,287.35,65,0,2.69,FR,1659932974
eyl,7.9803,49.8164,298.1,64,46,10.62,SO,1659932975
czluchow,53.6672,17.3588,286.81,76,64,1.11,PL,1659932948
batemans bay,-35.7167,150.1833,286.54,54,18,3.77,AU,1659932790
channel-port aux basques,47.5702,-59.1367,291.97,79,75,8.77,CA,1659932977
harindanga,22.0383,88.3214,304.22,68,100,5.71,IN,1659932978
saldanha,-33.0117,17.9442,283.18,84,50,4.83,ZA,1659932978
mondeville,49.175,-0.3224,288.03,100,0,0.51,FR,1659932979
dubti,11.7361,41.0853,297.59,76,100,3.54,ET,1659932980
olkusz,50.2813,19.565,288.19,63,100,2.87,PL,1659932981
petropavlovsk-kamchatskiy,53.0452,158.6483,291.48,68,20,7,RU,1659932981
kent,51.1667,0.6667,288.68,85,10,0.65,GB,1659932982
chateaudun,48.0833,1.3333,289.79,59,0,4.66,FR,1659932983
college,64.8569,-147.8028,287.12,75,100,2.57,US,1659932984
tecoanapa,16.5167,-98.75,300.36,79,100,0.95,MX,1659932984
ust-kuyga,70.0167,135.6,297.44,45,50,7.36,RU,1659932985
tarija,-21.5355,-64.7296,283.1,81,20,0,BO,1659932986
andenes,69.3143,16.1194,284.78,76,20,4.63,NO,1659932987
qaqortoq,60.7167,-46.0333,280.04,80,28,1.03,GL,1659932987
dabhol,17.6,73.1667,297.99,94,100,4.17,IN,1659932988
marzuq,14.4,46.4667,298.24,67,13,3.29,YE,1659932989
sambalpur,21.45,83.9667,302.87,69,15,3.27,IN,1659932990
cocal,-28.6167,-49.35,287.23,99,100,1.4,BR,1659932990
kandrian,-6.2167,149.55,301.74,73,50,5.65,PG,1659932991
mabaruma,8.2,-59.7833,296.77,94,57,1.11,GY,1659932992
korem,12.5058,39.5228,285.64,88,100,3.65,ET,1659932993
uray,60.1247,64.7758,297.74,50,39,1.23,RU,1659932994
marrakesh,31.6315,-8.0083,293.19,73,0,2.57,MA,1659932994
neuquen,-38.9516,-68.0591,277.09,93,100,0,AR,1659932995
high prairie,55.4334,-116.4858,290.54,62,66,3.04,CA,1659932996
molchanovo,57.5817,83.7692,293.1,67,68,2.74,RU,1659932997
caruray,10.3094,119.0128,301.64,75,100,2.1,PH,1659932997
aksarka,66.5606,67.7975,299.77,43,0,4.76,RU,1659932998
bud,39.447,-86.1758,300.12,89,11,2.59,US,1659932999
dawei,14.0833,98.2,297.53,95,100,4.12,MM,1659933000
gorontalo,0.5412,123.0595,302.82,68,99,1.47,ID,1659933000
hassleholm,56.1591,13.7664,286.62,84,94,2.05,SE,1659933001
marakkanam,12.2,79.95,302.58,62,100,5.47,IN,1659933003
anaco,9.4389,-64.4728,295.97,91,40,3.21,VE,1659933005
puri,19.8,85.85,302.44,74,74,5.18,IN,1659933006
villamontes,-21.25,-63.5,292.62,64,90,0.99,BO,1659933007
khani,41.9563,42.9566,291.91,76,34,0.79,GE,1659933008
xingyi,24.1877,102.817,295.98,66,92,0.81,CN,1659933009
qandala,11.472,49.8728,305.01,45,23,4.4,SO,1659933009
asfi,32.2994,-9.2372,292.83,89,0,4.39,MA,1659933010
varena,54.2167,24.5667,287.33,74,68,1.75,LT,1659933011
paamiut,61.994,-49.6678,279.95,82,26,4.99,GL,1659932859
luderitz,-26.6481,15.1594,286.13,67,18,3.54,NA,1659933012
